date,name,value
2021-01-01,AED,4.472405
2021-01-01,AFN,94.449471
2021-01-01,ALL,123.367457
2021-01-01,AMD,636.293426
2021-01-01,ANG,2.196411
2021-01-01,AOA,796.489873
2021-01-01,ARS,103.634513
2021-01-01,AUD,1.582666
2021-01-01,AWG,2.191636
2021-01-01,AZN,2.074713
2021-01-01,BAM,1.949626
2021-01-01,BBD,2.470539
2021-01-01,BDT,103.577925
2021-01-01,BGN,1.951049
2021-01-01,BHD,0.459039
2021-01-01,BIF,2374.155675
2021-01-01,BMD,1.217576
2021-01-01,BND,1.616955
2021-01-01,BOB,8.424494
2021-01-01,BRL,6.323363
2021-01-01,BSD,1.223607
2021-01-01,BTC,4.148895e-05
2021-01-01,BTN,89.405122
2021-01-01,BWP,13.221032
2021-01-01,BYN,3.197027
2021-01-01,BYR,23864.485606
2021-01-01,BZD,2.466452
2021-01-01,CAD,1.551131
2021-01-01,CDF,2399.842335
2021-01-01,CHF,1.083734
2021-01-01,CLF,0.031352
2021-01-01,CLP,865.092367
2021-01-01,CNY,7.954472
2021-01-01,COP,4166.544375
2021-01-01,CRC,746.883492
2021-01-01,CUC,1.217576
2021-01-01,CUP,32.265759
2021-01-01,CVE,109.915261
2021-01-01,CZK,26.141601
2021-01-01,DJF,216.38805
2021-01-01,DKK,7.418573
2021-01-01,DOP,71.140638
2021-01-01,DZD,160.804337
2021-01-01,EGP,19.289571
2021-01-01,ERN,18.264073
2021-01-01,ETB,48.157468
2021-01-01,EUR,1
2021-01-01,FJD,2.482886
2021-01-01,FKP,0.893125
2021-01-01,GBP,0.890496
2021-01-01,GEL,3.999785
2021-01-01,GGP,0.893125
2021-01-01,GHS,7.182546
2021-01-01,GIP,0.893125
2021-01-01,GMD,62.961319
2021-01-01,GNF,12229.885733
2021-01-01,GTQ,9.537951
2021-01-01,GYD,255.995448
2021-01-01,HKD,9.44017
2021-01-01,HNL,29.502127
2021-01-01,HRK,7.523893
2021-01-01,HTG,88.876205
2021-01-01,HUF,361.523078
2021-01-01,IDR,17306.247832
2021-01-01,ILS,3.912096
2021-01-01,IMP,0.893125
2021-01-01,INR,88.995355
2021-01-01,IQD,1787.681776
2021-01-01,IRR,51266.029328
2021-01-01,ISK,155.618833
2021-01-01,JEP,0.893125
2021-01-01,JMD,174.975246
2021-01-01,JOD,0.863309
2021-01-01,JPY,125.702994
2021-01-01,KES,133.617236
2021-01-01,KGS,101.672207
2021-01-01,KHR,4940.878621
2021-01-01,KMF,490.683473
2021-01-01,KPW,1095.847406
2021-01-01,KRW,1321.959036
2021-01-01,KWD,0.370326
2021-01-01,KYD,1.019656
2021-01-01,KZT,515.679161
2021-01-01,LAK,11373.41095
2021-01-01,LBP,1850.113126
2021-01-01,LKR,226.672252
2021-01-01,LRD,200.017312
2021-01-01,LSL,17.886653
2021-01-01,LTL,3.595185
2021-01-01,LVL,0.7365
2021-01-01,LYD,1.636892
2021-01-01,MAD,10.869415
2021-01-01,MDL,21.026396
2021-01-01,MGA,4675.49148
2021-01-01,MKD,61.419569
2021-01-01,MMK,1624.942995
2021-01-01,MNT,3470.081744
2021-01-01,MOP,9.770611
2021-01-01,MRO,434.67435
2021-01-01,MUR,48.342317
2021-01-01,MVR,18.755222
2021-01-01,MWK,943.20083
2021-01-01,MXN,24.20809
2021-01-01,MYR,4.897703
2021-01-01,MZN,91.200971
2021-01-01,NAD,17.886648
2021-01-01,NGN,464.144431
2021-01-01,NIO,42.642316
2021-01-01,NOK,10.511345
2021-01-01,NPR,143.047836
2021-01-01,NZD,1.851356
2021-01-01,OMR,0.468729
2021-01-01,PAB,1.223607
2021-01-01,PEN,4.429406
2021-01-01,PGK,4.351354
2021-01-01,PHP,58.559355
2021-01-01,PKR,196.020981
2021-01-01,PLN,4.5705
2021-01-01,PYG,8463.370406
2021-01-01,QAR,4.433498
2021-01-01,RON,4.849731
2021-01-01,RSD,117.192125
2021-01-01,RUB,90.033689
2021-01-01,RWF,1212.601624
2021-01-01,SAR,4.567229
2021-01-01,SBD,9.743101
2021-01-01,SCR,25.81785
2021-01-01,SDG,67.271516
2021-01-01,SEK,10.068488
2021-01-01,SGD,1.609153
2021-01-01,SHP,0.893125
2021-01-01,SLL,12317.61001
2021-01-01,SOS,709.847101
2021-01-01,SRD,17.233614
2021-01-01,STD,25368.025331
2021-01-01,SVC,10.706932
2021-01-01,SYP,624.40408
2021-01-01,SZL,17.953274
2021-01-01,THB,36.512709
2021-01-01,TJS,13.860298
2021-01-01,TMT,4.261515
2021-01-01,TND,3.280763
2021-01-01,TOP,2.768829
2021-01-01,TRY,9.057795
2021-01-01,TTD,8.273774
2021-01-01,TWD,34.176181
2021-01-01,TZS,2822.99458
2021-01-01,UAH,34.670781
2021-01-01,UGX,4473.465881
2021-01-01,USD,1.217576
2021-01-01,UYU,51.586856
2021-01-01,UZS,12819.579387
2021-01-01,VEF,12.160543
2021-01-01,VND,28101.649376
2021-01-01,VUV,132.420866
2021-01-01,WST,3.097479
2021-01-01,XAF,653.876431
2021-01-01,XAG,0.046289
2021-01-01,XAU,0.000643
2021-01-01,XCD,3.29056
2021-01-01,XDR,0.849597
2021-01-01,XOF,653.876431
2021-01-01,XPF,119.38375
2021-01-01,YER,304.88536
2021-01-01,ZAR,17.852821
2021-01-01,ZMK,10959.647632
2021-01-01,ZMW,25.903677
2021-01-01,ZWL,392.059632
2021-01-02,AED,4.457433
2021-01-02,AFN,94.133289
2021-01-02,ALL,122.954468
2021-01-02,AMD,634.163347
2021-01-02,ANG,2.189058
2021-01-02,AOA,793.823514
2021-01-02,ARS,103.287582
2021-01-02,AUD,1.577368
2021-01-02,AWG,2.1843
2021-01-02,AZN,2.067767
2021-01-02,BAM,1.9431
2021-01-02,BBD,2.462269
2021-01-02,BDT,103.231184
2021-01-02,BGN,1.944517
2021-01-02,BHD,0.457503
2021-01-02,BIF,2366.207863
2021-01-02,BMD,1.2135
2021-01-02,BND,1.611542
2021-01-02,BOB,8.396292
2021-01-02,BRL,6.302195
2021-01-02,BSD,1.21951
2021-01-02,BTC,3.7652232e-05
2021-01-02,BTN,89.105826
2021-01-02,BWP,13.176773
2021-01-02,BYN,3.186325
2021-01-02,BYR,23784.595964
2021-01-02,BZD,2.458195
2021-01-02,CAD,1.545939
2021-01-02,CDF,2391.808533
2021-01-02,CHF,1.080106
2021-01-02,CLF,0.031247
2021-01-02,CLP,862.196351
2021-01-02,CNY,7.927843
2021-01-02,COP,4152.596295
2021-01-02,CRC,744.383197
2021-01-02,CUC,1.2135
2021-01-02,CUP,32.157745
2021-01-02,CVE,109.547304
2021-01-02,CZK,26.054088
2021-01-02,DJF,215.663661
2021-01-02,DKK,7.393738
2021-01-02,DOP,70.902485
2021-01-02,DZD,160.266022
2021-01-02,EGP,19.224997
2021-01-02,ERN,18.202931
2021-01-02,ETB,47.996254
2021-01-02,EUR,1
2021-01-02,FJD,2.474574
2021-01-02,FKP,0.887288
2021-01-02,GBP,0.887515
2021-01-02,GEL,3.986396
2021-01-02,GGP,0.887288
2021-01-02,GHS,7.158501
2021-01-02,GIP,0.887288
2021-01-02,GMD,62.750547
2021-01-02,GNF,12188.944511
2021-01-02,GTQ,9.506022
2021-01-02,GYD,255.138468
2021-01-02,HKD,9.408568
2021-01-02,HNL,29.403365
2021-01-02,HRK,7.498706
2021-01-02,HTG,88.57868
2021-01-02,HUF,360.312829
2021-01-02,IDR,17248.312792
2021-01-02,ILS,3.899
2021-01-02,IMP,0.887288
2021-01-02,INR,88.697431
2021-01-02,IQD,1781.697266
2021-01-02,IRR,51094.409257
2021-01-02,ISK,155.097877
2021-01-02,JEP,0.887288
2021-01-02,JMD,174.389493
2021-01-02,JOD,0.860419
2021-01-02,JPY,125.282186
2021-01-02,KES,133.169934
2021-01-02,KGS,101.331846
2021-01-02,KHR,4924.338351
2021-01-02,KMF,489.040842
2021-01-02,KPW,1092.149903
2021-01-02,KRW,1317.533597
2021-01-02,KWD,0.369086
2021-01-02,KYD,1.016242
2021-01-02,KZT,513.952854
2021-01-02,LAK,11335.336895
2021-01-02,LBP,1843.919618
2021-01-02,LKR,225.913435
2021-01-02,LRD,199.347726
2021-01-02,LSL,17.826775
2021-01-02,LTL,3.58315
2021-01-02,LVL,0.734034
2021-01-02,LYD,1.631412
2021-01-02,MAD,10.833028
2021-01-02,MDL,20.956007
2021-01-02,MGA,4659.83963
2021-01-02,MKD,61.213959
2021-01-02,MMK,1619.503275
2021-01-02,MNT,3458.537837
2021-01-02,MOP,9.737902
2021-01-02,MRO,433.219218
2021-01-02,MUR,48.180484
2021-01-02,MVR,18.692437
2021-01-02,MWK,940.043336
2021-01-02,MXN,24.12705
2021-01-02,MYR,4.881308
2021-01-02,MZN,90.895663
2021-01-02,NAD,17.82677
2021-01-02,NGN,462.590644
2021-01-02,NIO,42.499565
2021-01-02,NOK,10.476156
2021-01-02,NPR,142.568964
2021-01-02,NZD,1.845158
2021-01-02,OMR,0.467159
2021-01-02,PAB,1.21951
2021-01-02,PEN,4.414578
2021-01-02,PGK,4.336788
2021-01-02,PHP,58.363319
2021-01-02,PKR,195.364774
2021-01-02,PLN,4.555199
2021-01-02,PYG,8435.038112
2021-01-02,QAR,4.418657
2021-01-02,RON,4.833496
2021-01-02,RSD,116.799808
2021-01-02,RUB,89.732289
2021-01-02,RWF,1208.542273
2021-01-02,SAR,4.551939
2021-01-02,SBD,9.710484
2021-01-02,SCR,25.731421
2021-01-02,SDG,67.046315
2021-01-02,SEK,10.034782
2021-01-02,SGD,1.603766
2021-01-02,SHP,0.887288
2021-01-02,SLL,12276.375119
2021-01-02,SOS,707.470791
2021-01-02,SRD,17.175922
2021-01-02,STD,25283.102384
2021-01-02,SVC,10.671089
2021-01-02,SYP,622.313801
2021-01-02,SZL,17.893173
2021-01-02,THB,36.390478
2021-01-02,TJS,13.813899
2021-01-02,TMT,4.247249
2021-01-02,TND,3.26978
2021-01-02,TOP,2.75956
2021-01-02,TRY,9.027472
2021-01-02,TTD,8.246076
2021-01-02,TWD,34.061772
2021-01-02,TZS,2813.544218
2021-01-02,UAH,34.554716
2021-01-02,UGX,4458.49034
2021-01-02,USD,1.2135
2021-01-02,UYU,51.414162
2021-01-02,UZS,12776.664085
2021-01-02,VEF,12.119834
2021-01-02,VND,28007.575247
2021-01-02,VUV,131.864293
2021-01-02,WST,3.094623
2021-01-02,XAF,651.68749
2021-01-02,XAG,0.046135
2021-01-02,XAU,0.000641
2021-01-02,XCD,3.279544
2021-01-02,XDR,0.846753
2021-01-02,XOF,651.68749
2021-01-02,XPF,118.984097
2021-01-02,YER,303.864714
2021-01-02,ZAR,17.793056
2021-01-02,ZMK,10922.958707
2021-01-02,ZMW,25.816961
2021-01-02,ZWL,390.747159
2021-01-03,AED,4.499378
2021-01-03,AFN,95.026722
2021-01-03,ALL,124.121447
2021-01-03,AMD,640.18169
2021-01-03,ANG,2.209835
2021-01-03,AOA,801.357065
2021-01-03,ARS,103.29454
2021-01-03,AUD,1.588516
2021-01-03,AWG,2.205031
2021-01-03,AZN,2.014565
2021-01-03,BAM,1.961542
2021-01-03,BBD,2.485638
2021-01-03,BDT,104.210967
2021-01-03,BGN,1.962973
2021-01-03,BHD,0.461845
2021-01-03,BIF,2388.665898
2021-01-03,BMD,1.225017
2021-01-03,BND,1.626837
2021-01-03,BOB,8.475982
2021-01-03,BRL,6.362004
2021-01-03,BSD,1.231085
2021-01-03,BTC,3.7602181e-05
2021-01-03,BTN,89.951543
2021-01-03,BWP,13.301836
2021-01-03,BYN,3.216567
2021-01-03,BYR,24010.339146
2021-01-03,BZD,2.481526
2021-01-03,CAD,1.558614
2021-01-03,CDF,2414.50964
2021-01-03,CHF,1.081861
2021-01-03,CLF,0.031543
2021-01-03,CLP,870.374421
2021-01-03,CNY,8.003004
2021-01-03,COP,4192.009212
2021-01-03,CRC,751.44825
2021-01-03,CUC,1.225017
2021-01-03,CUP,32.462959
2021-01-03,CVE,110.587034
2021-01-03,CZK,26.244465
2021-01-03,DJF,217.710249
2021-01-03,DKK,7.441147
2021-01-03,DOP,71.575431
2021-01-03,DZD,161.787131
2021-01-03,EGP,19.224958
2021-01-03,ERN,18.375545
2021-01-03,ETB,48.451794
2021-01-03,EUR,1
2021-01-03,FJD,2.498054
2021-01-03,FKP,0.895313
2021-01-03,GBP,0.895249
2021-01-03,GEL,4.024195
2021-01-03,GGP,0.895313
2021-01-03,GHS,7.226444
2021-01-03,GIP,0.895313
2021-01-03,GMD,63.345875
2021-01-03,GNF,12304.631619
2021-01-03,GTQ,9.596245
2021-01-03,GYD,257.560026
2021-01-03,HKD,9.497651
2021-01-03,HNL,29.682437
2021-01-03,HRK,7.569872
2021-01-03,HTG,89.419393
2021-01-03,HUF,363.591283
2021-01-03,IDR,17409.989324
2021-01-03,ILS,3.933102
2021-01-03,IMP,0.895313
2021-01-03,INR,89.539271
2021-01-03,IQD,1798.607623
2021-01-03,IRR,51579.353803
2021-01-03,ISK,156.56975
2021-01-03,JEP,0.895313
2021-01-03,JMD,176.04465
2021-01-03,JOD,0.868516
2021-01-03,JPY,126.473276
2021-01-03,KES,134.433572
2021-01-03,KGS,102.2819
2021-01-03,KHR,4971.075988
2021-01-03,KMF,493.681548
2021-01-03,KPW,1102.605126
2021-01-03,KRW,1330.038357
2021-01-03,KWD,0.372589
2021-01-03,KYD,1.025887
2021-01-03,KZT,518.830858
2021-01-03,LAK,11442.922285
2021-01-03,LBP,1861.420537
2021-01-03,LKR,228.057614
2021-01-03,LRD,201.239716
2021-01-03,LSL,17.995461
2021-01-03,LTL,3.617157
2021-01-03,LVL,0.741
2021-01-03,LYD,1.646896
2021-01-03,MAD,10.935846
2021-01-03,MDL,21.154904
2021-01-03,MGA,4704.066191
2021-01-03,MKD,61.79495
2021-01-03,MMK,1634.874224
2021-01-03,MNT,3490.100567
2021-01-03,MOP,9.830326
2021-01-03,MRO,437.330967
2021-01-03,MUR,48.638823
2021-01-03,MVR,18.860957
2021-01-03,MWK,948.965428
2021-01-03,MXN,24.316168
2021-01-03,MYR,4.927628
2021-01-03,MZN,91.744087
2021-01-03,NAD,17.995547
2021-01-03,NGN,466.983089
2021-01-03,NIO,42.902935
2021-01-03,NOK,10.478182
2021-01-03,NPR,143.922107
2021-01-03,NZD,1.702045
2021-01-03,OMR,0.471593
2021-01-03,PAB,1.231085
2021-01-03,PEN,4.456477
2021-01-03,PGK,4.377949
2021-01-03,PHP,58.91718
2021-01-03,PKR,197.21901
2021-01-03,PLN,4.562986
2021-01-03,PYG,8515.096329
2021-01-03,QAR,4.460594
2021-01-03,RON,4.872053
2021-01-03,RSD,117.907862
2021-01-03,RUB,90.884953
2021-01-03,RWF,1220.01273
2021-01-03,SAR,4.5959
2021-01-03,SBD,9.802648
2021-01-03,SCR,25.975642
2021-01-03,SDG,67.68178
2021-01-03,SEK,10.041969
2021-01-03,SGD,1.617893
2021-01-03,SHP,0.895313
2021-01-03,SLL,12392.885258
2021-01-03,SOS,714.185106
2021-01-03,SRD,17.338876
2021-01-03,STD,25523.068116
2021-01-03,SVC,10.77237
2021-01-03,SYP,628.246942
2021-01-03,SZL,18.063
2021-01-03,THB,36.715609
2021-01-03,TJS,13.945008
2021-01-03,TMT,4.287561
2021-01-03,TND,3.300813
2021-01-03,TOP,2.785751
2021-01-03,TRY,9.110662
2021-01-03,TTD,8.324341
2021-01-03,TWD,34.385008
2021-01-03,TZS,2840.24798
2021-01-03,UAH,34.88268
2021-01-03,UGX,4500.806543
2021-01-03,USD,1.225017
2021-01-03,UYU,51.902141
2021-01-03,UZS,12897.929328
2021-01-03,VEF,12.234864
2021-01-03,VND,28273.399362
2021-01-03,VUV,133.087986
2021-01-03,WST,3.098965
2021-01-03,XAF,657.872754
2021-01-03,XAG,0.045607
2021-01-03,XAU,0.00064
2021-01-03,XCD,3.31067
2021-01-03,XDR,0.854789
2021-01-03,XOF,657.872754
2021-01-03,XPF,120.113575
2021-01-03,YER,306.746163
2021-01-03,ZAR,17.951529
2021-01-03,ZMK,11026.618015
2021-01-03,ZMW,26.061994
2021-01-03,ZWL,394.455799
2021-01-04,AED,4.50012
2021-01-04,AFN,94.57894
2021-01-04,ALL,122.910377
2021-01-04,AMD,640.23646
2021-01-04,ANG,2.198064
2021-01-04,AOA,801.425911
2021-01-04,ARS,103.68101
2021-01-04,AUD,1.5975
2021-01-04,AWG,2.20522
2021-01-04,AZN,2.086734
2021-01-04,BAM,1.948248
2021-01-04,BBD,2.472498
2021-01-04,BDT,103.848766
2021-01-04,BGN,1.956896
2021-01-04,BHD,0.461973
2021-01-04,BIF,2384.088111
2021-01-04,BMD,1.225122
2021-01-04,BND,1.612989
2021-01-04,BOB,8.43109
2021-01-04,BRL,6.489225
2021-01-04,BSD,1.224545
2021-01-04,BTC,3.8314537e-05
2021-01-04,BTN,89.420345
2021-01-04,BWP,13.174538
2021-01-04,BYN,3.161796
2021-01-04,BYR,24012.398238
2021-01-04,BZD,2.468414
2021-01-04,CAD,1.566135
2021-01-04,CDF,2413.490846
2021-01-04,CHF,1.079688
2021-01-04,CLF,0.031271
2021-01-04,CLP,862.857567
2021-01-04,CNY,7.916246
2021-01-04,COP,4226.059578
2021-01-04,CRC,747.507636
2021-01-04,CUC,1.225122
2021-01-04,CUP,32.465743
2021-01-04,CVE,110.414174
2021-01-04,CZK,26.18834
2021-01-04,DJF,217.728813
2021-01-04,DKK,7.440119
2021-01-04,DOP,71.300266
2021-01-04,DZD,161.954397
2021-01-04,EGP,19.281417
2021-01-04,ERN,18.376772
2021-01-04,ETB,48.018994
2021-01-04,EUR,1
2021-01-04,FJD,2.501824
2021-01-04,FKP,0.902812
2021-01-04,GBP,0.90281
2021-01-04,GEL,4.03091
2021-01-04,GGP,0.902812
2021-01-04,GHS,7.17945
2021-01-04,GIP,0.902812
2021-01-04,GMD,63.400567
2021-01-04,GNF,12275.725968
